hour_beginning,location,Pedestrians,Towards Manhattan,Towards Brooklyn,weather_summary,temperature,precipitation,lat,long,events,Location1
11/9/2017 5:00,Brooklyn Bridge,19,10,9,clear-night,38,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/1/2017 0:00,Brooklyn Bridge,44,30,14,clear-night,52,0.0001,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/19/2017 3:00,Brooklyn Bridge,3,1,2,partly-cloudy-night,55,0.0089,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/6/2018 3:00,Brooklyn Bridge,1,0,1,clear-night,9,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/2/2017 9:00,Brooklyn Bridge,579,325,254,partly-cloudy-day,60,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/24/2017 3:00,Brooklyn Bridge,5,2,3,partly-cloudy-night,68,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/28/2017 18:00,Brooklyn Bridge,1534,589,945,clear-night,64,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/15/2017 18:00,Brooklyn Bridge,155,103,52,partly-cloudy-night,23,0.0035,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/23/2017 23:00,Brooklyn Bridge,45,29,16,clear-night,34,0,40.70816397,-73.9995087,Thanksgiving Day,"(40.7081639691088, -73.9995087014816)"
12/21/2017 12:00,Brooklyn Bridge,1361,561,800,clear-day,37,0.0001,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/21/2017 6:00,Brooklyn Bridge,51,28,23,clear-night,31,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/4/2017 16:00,Brooklyn Bridge,1733,964,769,clear-day,74,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/4/2017 13:00,Brooklyn Bridge,1781,766,1015,clear-day,49,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/4/2018 0:00,Brooklyn Bridge,41,38,3,partly-cloudy-night,26,0.0006,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/4/2017 18:00,Brooklyn Bridge,800,461,339,clear-night,46,0.0001,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/16/2017 6:00,Brooklyn Bridge,32,17,15,partly-cloudy-night,50,0.0237,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/10/2017 6:00,Brooklyn Bridge,20,15,5,clear-night,28,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/21/2017 1:00,Brooklyn Bridge,29,16,13,clear-night,57,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/15/2017 16:00,Brooklyn Bridge,2824,1280,1544,partly-cloudy-day,71,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/2/2018 18:00,Brooklyn Bridge,589,286,303,clear-night,23,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/7/2018 11:00,Brooklyn Bridge,432,250,182,clear-day,11,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/17/2017 7:00,Brooklyn Bridge,92,48,44,partly-cloudy-night,32,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/20/2017 0:00,Brooklyn Bridge,28,6,22,partly-cloudy-night,39,0.0005,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/26/2017 13:00,Brooklyn Bridge,2031,936,1095,clear-day,26,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/12/2017 22:00,Brooklyn Bridge,84,65,19,partly-cloudy-night,33,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/18/2017 0:00,Brooklyn Bridge,23,11,12,clear-night,49,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/10/2017 17:00,Brooklyn Bridge,638,263,375,clear-night,31,0,40.70816397,-73.9995087,Veterans Day observed,"(40.7081639691088, -73.9995087014816)"
10/8/2017 2:00,Brooklyn Bridge,46,25,21,partly-cloudy-night,72,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/20/2017 11:00,Brooklyn Bridge,1252,606,646,partly-cloudy-day,42,0.0002,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/22/2017 19:00,Brooklyn Bridge,739,249,490,clear-night,61,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/18/2017 6:00,Brooklyn Bridge,28,20,8,clear-night,31,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/5/2018 5:00,Brooklyn Bridge,4,2,2,clear-night,11,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/13/2018 16:00,Brooklyn Bridge,1674,763,911,clear-day,30,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
10/25/2017 6:00,Brooklyn Bridge,104,66,38,clear-night,59,0.0004,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
2/2/2018 0:00,Brooklyn Bridge,6,4,2,partly-cloudy-night,38,0.0149,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/1/2017 18:00,Brooklyn Bridge,834,442,392,partly-cloudy-night,56,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/20/2017 4:00,Brooklyn Bridge,4,3,1,partly-cloudy-night,47,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/11/2017 21:00,Brooklyn Bridge,156,74,82,clear-night,32,0.0002,40.70816397,-73.9995087,Veterans Day,"(40.7081639691088, -73.9995087014816)"
1/1/2018 2:00,Brooklyn Bridge,16,7,9,clear-night,8,0,40.70816397,-73.9995087,New Year's Day,"(40.7081639691088, -73.9995087014816)"
12/28/2017 5:00,Brooklyn Bridge,6,3,3,clear-night,14,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
1/31/2018 12:00,Brooklyn Bridge,694,351,343,clear-day,26,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
12/6/2017 12:00,Brooklyn Bridge,1166,444,722,clear-day,41,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
11/28/2017 14:00,Brooklyn Bridge,1167,451,716,clear-day,50,0,40.70816397,-73.9995087,,"(40.7081639691088, -73.9995087014816)"
